id,name,day,start_time,end_time
acoustic-cafe-tue,Acoustic Cafe,tuesday,20:00:00,22:00:00
alternative-playlist-thu,Alternative Playlist,thursday,0:00:00,9:00:00
alternative-playlist-wed,Alternative Playlist,wednesday,9:00:00,12:00:00
baby-boomers-revenge-tue,Baby Boomers Revenge,tuesday,12:00:00,14:00:00
blues-hotel-wed,The Blues Hotel,wednesday,18:00:00,20:00:00
bullfrogs-roadhouse-tue,Bullfrog's Roadhouse,tuesday,9:00:00,12:00:00
car-wheels-gravel-road-mon,Car Wheels on a Gravel Road,monday,20:00:00,22:00:00
car-wheels-gravel-road-thu,Car Wheels on a Gravel Road,thursday,9:00:00,10:00:00
car-wheels-gravel-road-wed,Car Wheels on a Gravel Road,wednesday,9:00:00,12:00:00
eclectic-avenue-wed,Eclectic Avenue,wednesday,20:00:00,22:00:00
everyone-deserves-music-thu,Everyone Deserves Music,thursday,22:00:00,0:00:00
indigenous-playlist-mon-9am,Indigenous Playlist,monday,9:00:00,12:00:00
indigenous-playlist-tue-9am,Indigenous Playlist,tuesday,9:00:00,12:00:00
made-by-music-thu,Made by Music,thursday,19:00:00,20:00:00
oz-rock-hour-thu,Oz Rock Hour,thursday,18:00:00,19:00:00
playlist-mon-12pm,Playlist,monday,12:00:00,14:00:00
playlist-mon-2pm,Playlist,monday,14:00:00,16:00:00
playlist-mon-6pm,Playlist,monday,18:00:00,20:00:00
playlist-thu-12pm,Playlist,thursday,10:00:00,18:00:00
playlist-tue-12pm,Playlist,tuesday,12:00:00,14:00:00
playlist-tue-2pm,Playlist,tuesday,14:00:00,16:00:00
playlist-wed-10pm,Playlist,wednesday,22:00:00,0:00:00
playlist-wed-12pm,Playlist,wednesday,12:00:00,14:00:00
playlist-wed-2pm,Playlist,wednesday,14:00:00,16:00:00
playlist-wed-6pm,Playlist,wednesday,18:00:00,20:00:00
the-vault-mon,The Vault,monday,22:00:00,0:00:00
the-vault-tue,The Vault,tuesday,22:00:00,0:00:00
uncut-unsigned-tue,Uncut and Unsigned,tuesday,16:00:00,18:00:00
waste-alphabet-thu,Waste the Alphabet,thursday,20:00:00,22:00:00
waste-alphabet-tue,Waste the Alphabet,tuesday,18:00:00,20:00:00
yack-garden-club-mon,Yack Garden Club & Produce Market,monday,14:00:00,16:00:00
yack-ps-mon,Yack PS,monday,16:00:00,18:00:00
yack-ps-wed,Yack PS,wednesday,16:00:00,18:00:00
