id,show_id,name,frequency,duration,description,scope,tagline,type,focus,approach,mix,schedule,demographic,established,style,perspective,artwork
1,acoustic-cafe,The Acoustic Cafe,fortnightly,,"An eclectic mix of traditional and contemporary folk, Americana, bluegrass, blues, old timey and world music from Australia and overseas",Australian and international,,,,,,,,,,,https://assets.podomatic.net/ts/28/84/58/info58064/150x150_17488949.jpg?1754178980
2,asleep-at-wheel,Asleep At The Wheel,fortnightly,,"A big wheel keeps on turning on Sunday afternoon in Yackandandah between 2 pm and 4 pm. Covering soul, country, swamp pop, Cajun, blues, rockabilly and most importantly good music. Hopefully you wonâ€™t get lost nor be asleep on this highway",,,,,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2021/12/asleep-at-the-wheel.jpg
3,baby-boomers-revenge,Baby Boomers Revenge,fortnightly,,"Reliving the Baby Boomers era with a strong emphasis on influential artists like the Beatles, Eagles and bands who were influenced by them",,,,Influential artists and their legacy,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2021/12/Baby-Boomers-Revenge.jpeg
4,blues-hotel,The Blues Hotel,weekly,2 hours,"2 hour blues music program featuring classics, independent artists, interviews",,,,,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2024/06/TBH-COVERART-INDIGO.png
5,bullfrogs-roadhouse,Bullfrog's Roadhouse,weekly,,"You supply the food and drink, we supply the tunes â€“ blues, roots, alt-country. Tune in to hear what comes next",,,,,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2024/06/BFRH.jpg
6,car-wheels-gravel-road,Car Wheels on a Gravel Road,fortnightly,,"Just a little bit country, mostly lots of Americana, Alt country, folk, rock and some blues. A mix of old and new songs, great classics and up and coming brilliance. Seriously good driving music!",,,,,,old and new songs,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2022/10/car-wheels.jpg
7,country,COUNTRY,weekly,3 hours,Kaylene brings your weekly super informative and enthusiastic 3 hour dose of wall to wall country music from across the eras,across the eras,,,,,,,,,super informative and enthusiastic,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17484794.jpg?1753784343
8,eclectic-avenue,Eclectic Avenue,fortnightly,,"Brings you a smorgasbord of musical delights to titillate your musical taste buds from across the genres loosely brought together each week by a topical, quirky, out-of-left-field, nonsensical, and/or lazy theme",,,,,thematic programming,,,,,,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17492651.jpg?1754568223
9,everyone-deserves-music,Everyone Deserves Music,weekly,,Modern indie/folk/roots music incl local and touring artists. We delve into the cave and drag out relics from 30 years ago on 1994 Time Machine and spin some platter on Wax Lyrical,,,,local and touring artists,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2024/06/everyone-deserves-music-with-Scott-2024.jpg
10,monthly-music,Monthly Music,quarterly,,New music from around the world,international,,,new music,,,,,,,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17492651.jpg?1754568223
11,uncut-unsigned,Uncut and Unsigned,weekly,,Airing and Interviewing independent/unsigned artists-mainly of an Australian origin,mainly Australian,,,independent/unsigned artists,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2025/01/Uncut-and-Unsigned.jpg
12,waste-alphabet,Waste The Alphabet,weekly,,Playing the best new independent Australian music,Australian,,,new music,,,,,,,,https://i0.wp.com/indigofmradio.com/wp-content/uploads/2025/03/WTA-scaled.jpg
13,yack-garden-club,Yackandandah Garden Club,quarterly,,Karen and Chrissie with the latest seasonal gardening tips,,,community program,seasonal gardening tips,,,,,,,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17492651.jpg?1754568223
14,yack-primary-school,Yackandandah Primary School News,weekly,,Year 5-6 students offer a young person's view of the community,,,school program,,,,Mondays & Wednesdays,Year 5-6 students,,,young person's view of the community,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17484794.jpg?1753784343
15,yack-womens-shed,Yackandandah Women's Shed,monthly,,"Robynne, Janet, Chrissie and Margot bring a monthly update on their very active community group formed late 2020",,,community program,community group updates,,,,,late 2020,,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17484794.jpg?1753784343
16,oz-rock-hour,Oz Rock Hour,,,"Another ripper hour of Oz Rock, this time from this century. Starting in the 2000's with bands Faker, Taxiride & Blue King Brown we move onto later tunes from Courtney Barnett, Tame Impala, Kingswood, Moju, Alex Lahey and finish with tunes that are vibing just now from Press Club, Old Mervs, The Southern River Band, The Buoys and The Grogans. Far out! So many great beats in this crowded hour!
",,,Unknown,Unknown,,,,,Unknown,,,https://assets.podomatic.net/ts/28/84/58/info58064/640x640_17515723.jpg?1756449471
